,DamID
0,298.0
1,301.0
2,8545.0
3,8562.0
4,8669.0
5,8678.0
6,250.0
7,253.0
8,8626.0
9,8629.0
10,8635.0
11,95.0
12,8628.0
13,476.0
14,59.0
15,8590.0
16,8591.0
17,8594.0
18,8595.0
19,8612.0
20,8631.0
21,246.0
22,99.0
23,103.0
24,525.0
25,8670.0
26,265.0
27,30.0
28,459.0
29,8644.0
30,567.0
31,587.0
32,591.0
33,620.0
34,231.0
35,232.0
36,266.0
37,225.0
38,8597.0
39,293.0
40,8675.0
41,8604.0
42,8617.0
43,8622.0
44,8637.0
45,8639.0
46,546.0
47,554.0
48,559.0
49,8690.0
50,8691.0
51,8693.0
52,8694.0
53,8695.0
54,8699.0
55,8700.0
56,8705.0
57,8706.0
58,297.0
59,428.0
60,431.0
61,436.0
62,8642.0
63,555.0
64,501.0
65,8532.0
66,8530.0
67,8546.0
68,8550.0
69,426.0
70,548.0
71,8672.0
72,8674.0
73,8676.0
74,8681.0
75,670.0
76,8534.0
77,763.0
78,8625.0
79,8673.0
80,8680.0
81,268.0
82,8636.0
83,635.0
84,306.0
85,8560.0
86,454.0
87,305.0
88,317.0
89,107.0
90,484.0
91,488.0
92,495.0
93,8660.0
94,48.0
95,8559.0
96,215.0
97,8548.0
98,263.0
99,28.0
100,453.0
101,8658.0
102,310.0
103,96.0
104,44.0
105,481.0
106,421.0
107,57.0
108,295.0
109,104.0
110,105.0
111,8685.0
112,8704.0
113,572.0
114,8553.0
115,8671.0
116,8684.0
117,29.0
118,8668.0
119,605.0
120,8614.0
121,8687.0
122,8688.0
123,8696.0
124,8701.0
125,8702.0
126,8703.0
127,666.0
128,294.0
129,753.0
130,758.0
131,759.0
132,8790.0
133,8791.0
134,45.0
135,8574.0
136,341.0
137,342.0
138,399.0
139,8573.0
140,8587.0
141,8600.0
142,8615.0
143,8618.0
144,101.0
145,8602.0
146,8611.0
147,320.0
148,322.0
149,324.0
150,326.0
151,429.0
152,280.0
153,8634.0
154,786.0
155,8578.0
156,8547.0
157,8646.0
158,8661.0
159,905.0
160,347.0
161,8563.0
162,8580.0
163,8581.0
164,382.0
165,302.0
166,762.0
167,353.0
168,359.0
169,360.0
170,361.0
171,30540.0
172,80.0
173,468.0
174,8522.0
175,8520.0
176,30124.0
177,276.0
178,277.0
179,610.0
180,343.0
181,349.0
182,354.0
183,413.0
184,50.0
185,8527.0
186,219.0
187,613.0
188,8667.0
189,87.0
190,427.0
191,83.0
192,8749.0
193,8750.0
194,787.0
195,788.0
196,945.0
197,889.0
198,890.0
199,892.0
200,278.0
201,307.0
202,8544.0
203,243.0
204,416.0
205,397.0
206,406.0
207,407.0
208,8795.0
209,53.0
210,888.0
211,81.0
212,327.0
213,311.0
214,328.0
215,237.0
216,793.0
217,794.0
218,808.0
219,8565.0
220,8568.0
221,8556.0
222,470.0
223,8632.0
224,757.0
225,872.0
226,8570.0
227,357.0
228,54.0
229,8627.0
230,147.0
231,901.0
232,8531.0
233,790.0
234,348.0
235,8561.0
236,807.0
237,812.0
238,897.0
239,204.0
240,279.0
241,437.0
242,8584.0
243,339.0
244,401.0
245,8564.0
246,551.0
247,8638.0
248,8751.0
249,8567.0
250,735.0
251,8551.0
252,8566.0
253,8666.0
254,8784.0
255,8577.0
256,229.0
257,355.0
258,8575.0
259,362.0
260,363.0
261,8549.0
262,8543.0
263,8640.0
264,8582.0
265,906.0
266,49.0
267,76.0
